customer_id,age,gender,income_bracket,loyalty_program,membership_years,churned,marital_status,number_of_children,education_level,occupation,customer_zip_code,customer_city,customer_state
87,57,Other,Medium,Yes,4,Yes,Married,3,Bachelor's,Unemployed,45889,City C,State Y
88,21,Male,Low,Yes,7,Yes,Single,4,Bachelor's,Self-Employed,61913,City A,State Y
89,19,Female,High,Yes,8,Yes,Single,4,High School,Self-Employed,30431,City C,State X
90,79,Male,Low,No,1,Yes,Divorced,3,Bachelor's,Employed,73620,City C,State Y
91,23,Female,High,Yes,0,No,Single,3,PhD,Employed,41040,City C,State Y
92,71,Other,High,Yes,9,Yes,Married,4,Master's,Employed,56439,City D,State Z
93,59,Other,High,No,2,Yes,Single,4,High School,Self-Employed,36460,City A,State Z
94,21,Male,Medium,Yes,2,No,Single,4,Bachelor's,Employed,98097,City C,State X
95,71,Female,High,Yes,2,Yes,Single,2,High School,Retired,39789,City C,State X
96,46,Other,High,No,1,Yes,Married,1,Bachelor's,Unemployed,95833,City B,State X
97,35,Other,Low,Yes,2,Yes,Divorced,0,PhD,Unemployed,92325,City A,State Y
98,43,Other,Medium,No,4,No,Married,1,Bachelor's,Employed,76043,City A,State Y
99,61,Male,Low,Yes,9,No,Married,1,Master's,Self-Employed,34440,City B,State Z
100,51,Male,Low,Yes,4,Yes,Married,1,High School,Unemployed,40643,City A,State X
101,27,Female,Medium,Yes,8,Yes,Single,2,PhD,Unemployed,25576,City A,State Y
102,79,Other,Medium,No,1,No,Married,2,PhD,Unemployed,82395,City A,State X
103,53,Male,High,Yes,1,No,Divorced,1,Bachelor's,Retired,53988,City D,State Y
104,31,Other,High,No,2,Yes,Married,1,PhD,Employed,17557,City B,State Z
105,48,Other,Low,Yes,6,No,Single,2,Bachelor's,Employed,40037,City A,State X
106,65,Female,High,Yes,7,No,Single,2,Bachelor's,Self-Employed,54445,City D,State X
107,32,Other,Low,No,1,Yes,Married,0,Master's,Self-Employed,41707,City C,State Z
108,25,Male,Low,Yes,8,No,Married,1,Bachelor's,Employed,59599,City B,State Y
109,31,Other,High,No,0,Yes,Married,3,Bachelor's,Employed,57747,City B,State Y
110,40,Female,Low,No,4,Yes,Divorced,1,High School,Retired,86630,City C,State X
111,77,Male,Low,No,5,Yes,Divorced,1,PhD,Unemployed,72249,City A,State X
112,74,Female,Medium,No,8,Yes,Single,1,Bachelor's,Unemployed,84392,City C,State X
113,79,Male,Low,No,8,No,Single,0,Bachelor's,Self-Employed,39294,City A,State Y
114,57,Other,High,No,4,Yes,Divorced,0,Bachelor's,Retired,90808,City D,State X
115,38,Other,Medium,Yes,0,No,Married,1,Bachelor's,Employed,46654,City A,State Z
116,33,Female,Low,No,7,No,Married,2,High School,Employed,90881,City B,State Z
117,62,Other,High,Yes,0,Yes,Single,4,Master's,Employed,51370,City C,State Z
118,35,Male,Medium,Yes,0,Yes,Single,0,Master's,Unemployed,76247,City C,State Y
119,64,Other,Medium,Yes,2,No,Married,2,High School,Employed,37177,City D,State Y
120,70,Male,Medium,Yes,6,Yes,Divorced,3,Bachelor's,Employed,69001,City B,State X
121,41,Other,High,No,0,No,Single,2,Bachelor's,Unemployed,23240,City D,State X
122,43,Female,Medium,No,4,Yes,Divorced,4,High School,Employed,97988,City C,State Z
123,42,Male,High,Yes,7,Yes,Single,1,High School,Employed,55966,City B,State Y
124,77,Male,Low,No,5,No,Married,2,Master's,Employed,80279,City C,State Z
125,77,Other,Low,Yes,5,No,Married,2,High School,Employed,61138,City A,State X
126,77,Other,High,No,8,No,Married,0,Master's,Retired,66719,City A,State X
127,62,Male,Low,No,3,No,Divorced,3,High School,Retired,15736,City D,State Z
128,58,Male,Low,Yes,8,No,Single,4,Bachelor's,Employed,95408,City D,State Y
129,46,Female,High,Yes,9,No,Married,2,Bachelor's,Unemployed,35890,City A,State Y
130,32,Male,Low,No,5,No,Single,3,Master's,Retired,19124,City B,State X
131,62,Other,High,Yes,2,No,Single,2,Master's,Unemployed,49009,City A,State Z
132,18,Female,Medium,No,8,Yes,Married,3,Master's,Self-Employed,52282,City C,State X
133,42,Male,Low,Yes,8,No,Single,1,PhD,Employed,54241,City A,State X
134,24,Female,Low,Yes,7,Yes,Married,0,High School,Employed,32155,City A,State Y
135,26,Male,High,Yes,3,Yes,Divorced,4,High School,Unemployed,85307,City B,State X
136,41,Male,Low,No,0,Yes,Single,2,Master's,Retired,28201,City A,State X
137,18,Female,Low,No,5,Yes,Married,2,Master's,Self-Employed,95389,City B,State X
138,61,Female,High,Yes,6,Yes,Divorced,1,PhD,Retired,49849,City B,State Z
139,25,Male,Medium,No,1,No,Single,3,PhD,Unemployed,29639,City C,State Z
140,41,Other,Low,No,4,Yes,Single,0,Master's,Self-Employed,35497,City B,State X
141,28,Male,Low,No,3,No,Single,0,PhD,Unemployed,31564,City D,State Z
142,68,Female,Medium,No,0,No,Divorced,4,PhD,Retired,80810,City A,State Y
143,34,Other,Low,Yes,0,Yes,Married,1,Master's,Self-Employed,45173,City C,State X
144,25,Other,High,Yes,8,No,Married,3,Master's,Self-Employed,65308,City A,State X
145,52,Other,High,No,7,No,Married,0,PhD,Self-Employed,44578,City C,State Z
146,52,Male,Low,No,2,No,Married,3,PhD,Unemployed,54359,City A,State X
147,50,Female,Medium,No,0,Yes,Married,2,Bachelor's,Self-Employed,67790,City A,State X
148,76,Other,High,No,8,Yes,Married,1,Master's,Unemployed,94201,City B,State X
149,22,Male,Low,No,2,No,Married,1,Master's,Self-Employed,52494,City A,State X
150,59,Male,Low,No,8,No,Divorced,2,High School,Unemployed,22592,City A,State Z
151,56,Male,Medium,No,1,No,Married,3,Bachelor's,Employed,67472,City B,State X
152,75,Other,Low,No,3,No,Divorced,3,Master's,Self-Employed,99994,City B,State Y
153,58,Other,High,No,2,No,Divorced,4,Bachelor's,Self-Employed,85876,City A,State Y
154,45,Male,Medium,No,3,No,Single,1,High School,Unemployed,20930,City D,State X
155,24,Other,High,No,5,No,Married,3,PhD,Unemployed,16081,City C,State Y
156,26,Male,High,No,3,No,Married,4,Master's,Retired,79294,City B,State Z
157,25,Female,High,No,1,Yes,Single,4,Bachelor's,Self-Employed,29737,City C,State Y
158,29,Female,Medium,No,6,Yes,Single,3,High School,Unemployed,92145,City C,State X
159,51,Male,Medium,No,0,Yes,Single,4,PhD,Retired,34294,City B,State X
160,50,Male,Low,Yes,5,No,Married,2,High School,Employed,60435,City C,State Y
161,65,Male,Low,Yes,1,No,Single,0,Master's,Unemployed,11165,City B,State X
162,72,Male,Low,No,5,No,Single,3,PhD,Retired,99505,City D,State Z
163,40,Other,Low,Yes,9,No,Divorced,3,Master's,Unemployed,27324,City A,State X
164,79,Female,Low,Yes,5,No,Married,3,High School,Unemployed,79546,City B,State X
165,41,Other,Medium,No,7,No,Single,2,Bachelor's,Employed,29687,City C,State X
166,54,Female,Low,No,7,No,Divorced,3,Master's,Unemployed,29969,City B,State Y
167,52,Female,Medium,No,4,Yes,Divorced,4,PhD,Employed,76828,City A,State Y
168,61,Other,Medium,Yes,1,Yes,Single,3,Bachelor's,Unemployed,69849,City D,State X
169,57,Male,Low,Yes,4,Yes,Single,3,Master's,Retired,26487,City B,State Y
170,39,Other,Low,No,6,No,Married,2,High School,Unemployed,41628,City B,State Z
171,44,Female,Medium,No,4,Yes,Divorced,2,Bachelor's,Unemployed,58907,City B,State X
172,52,Other,Medium,Yes,4,No,Married,1,High School,Retired,58633,City A,State X
173,18,Female,Low,Yes,0,Yes,Married,0,High School,Unemployed,77853,City C,State X
174,52,Female,High,No,0,No,Single,4,High School,Unemployed,94223,City A,State X
175,54,Female,High,Yes,8,No,Married,0,Bachelor's,Retired,90373,City A,State X
176,64,Male,High,No,4,No,Divorced,2,Master's,Unemployed,11884,City A,State Y
177,31,Other,High,No,9,Yes,Divorced,2,Master's,Employed,43621,City C,State X
178,20,Male,Low,Yes,6,No,Divorced,0,High School,Retired,83856,City A,State Z
179,18,Male,Low,Yes,2,Yes,Single,3,Bachelor's,Unemployed,20819,City A,State Y
180,22,Female,Low,Yes,1,Yes,Divorced,1,PhD,Self-Employed,41837,City C,State X
181,43,Female,Low,No,6,Yes,Divorced,4,Bachelor's,Retired,70554,City B,State X
182,72,Male,Low,No,9,No,Single,1,Bachelor's,Retired,36535,City B,State X
183,31,Male,High,No,3,No,Divorced,3,Master's,Employed,88790,City D,State Z
184,56,Other,Medium,Yes,6,No,Divorced,0,Master's,Unemployed,11907,City A,State Y
185,44,Male,High,Yes,0,Yes,Married,1,Bachelor's,Employed,67450,City B,State X
186,26,Female,Medium,No,6,Yes,Single,4,Master's,Unemployed,68808,City A,State Y
187,32,Other,Medium,Yes,1,No,Married,2,High School,Employed,83469,City B,State Y
188,32,Male,Low,Yes,6,Yes,Single,4,PhD,Self-Employed,39889,City C,State Z
189,43,Other,High,No,2,Yes,Single,1,Master's,Retired,97726,City A,State X
190,59,Male,High,Yes,7,Yes,Single,3,PhD,Employed,62544,City B,State Y
191,77,Male,Low,No,0,No,Single,2,Master's,Self-Employed,51224,City C,State X
192,30,Male,Medium,No,1,No,Married,1,Master's,Retired,53724,City A,State Z
193,68,Other,High,No,2,No,Divorced,1,High School,Unemployed,20454,City A,State Z
194,49,Female,Low,No,1,Yes,Divorced,1,High School,Unemployed,81109,City C,State Z
195,56,Female,Low,Yes,8,No,Divorced,1,High School,Self-Employed,25541,City D,State Z
196,66,Other,Low,Yes,5,Yes,Single,0,High School,Retired,90119,City C,State Z
197,69,Male,Low,No,4,No,Single,4,Bachelor's,Employed,33370,City A,State X
198,78,Female,Medium,No,4,No,Married,4,Bachelor's,Employed,31659,City A,State Y
199,49,Male,High,No,5,No,Married,2,PhD,Self-Employed,75000,City B,State X
200,21,Other,High,No,3,No,Married,3,High School,Retired,55281,City B,State Y
201,47,Female,Low,Yes,7,No,Married,0,Master's,Unemployed,19318,City A,State Z
202,54,Male,Low,No,4,No,Married,3,Bachelor's,Self-Employed,31171,City B,State Z
203,40,Male,Medium,Yes,1,No,Divorced,0,Bachelor's,Self-Employed,47233,City C,State X
204,56,Other,Medium,Yes,8,No,Married,3,High School,Employed,10172,City B,State Z
205,62,Female,Low,No,9,No,Married,4,Bachelor's,Employed,83573,City C,State X
206,32,Female,Low,No,7,No,Married,2,High School,Unemployed,99557,City B,State X
207,60,Female,High,Yes,5,Yes,Married,0,PhD,Employed,68571,City C,State X
208,46,Male,Medium,Yes,8,No,Married,4,PhD,Retired,60455,City D,State Z
209,53,Other,High,Yes,0,Yes,Single,4,High School,Self-Employed,94443,City D,State Y
210,30,Male,Low,No,8,Yes,Married,0,High School,Self-Employed,70529,City B,State Z
211,49,Female,Medium,Yes,9,No,Married,3,Bachelor's,Retired,27614,City B,State Z
212,24,Other,High,No,2,No,Divorced,3,PhD,Unemployed,61433,City D,State X
213,76,Other,High,No,5,Yes,Married,4,High School,Employed,22587,City D,State Y
214,68,Other,Low,Yes,3,Yes,Single,4,High School,Unemployed,78912,City A,State Z
215,39,Male,Medium,Yes,7,No,Single,2,PhD,Unemployed,37532,City C,State X
216,45,Other,High,Yes,0,No,Single,4,High School,Unemployed,32215,City D,State Z
217,19,Male,Low,Yes,1,Yes,Divorced,2,PhD,Self-Employed,58859,City C,State Z
218,59,Male,Low,No,0,No,Married,3,High School,Employed,78113,City C,State Y
219,62,Other,Medium,No,9,No,Married,4,High School,Unemployed,47764,City A,State Y
220,79,Female,Medium,No,8,No,Married,1,PhD,Self-Employed,95042,City A,State Z
221,74,Other,Low,No,8,Yes,Divorced,0,Bachelor's,Self-Employed,42714,City B,State Y
222,70,Male,Medium,Yes,1,No,Divorced,1,Master's,Employed,24249,City D,State Y
223,23,Female,High,No,5,No,Married,2,Master's,Self-Employed,91067,City D,State Y
224,45,Female,Low,Yes,0,Yes,Single,4,Master's,Unemployed,99333,City B,State Y
225,45,Other,High,Yes,7,No,Divorced,0,High School,Employed,15608,City A,State X
226,61,Female,Medium,Yes,8,Yes,Single,4,PhD,Retired,75541,City C,State X
227,61,Male,High,No,0,Yes,Divorced,3,PhD,Unemployed,25333,City D,State X
228,37,Male,Low,No,6,No,Single,0,Master's,Retired,94878,City B,State Z
229,47,Male,Low,No,5,Yes,Single,3,PhD,Retired,16303,City C,State Y
230,79,Male,Low,No,8,Yes,Married,4,Bachelor's,Unemployed,92210,City A,State X
231,28,Female,High,No,1,No,Single,2,PhD,Self-Employed,87651,City C,State Y
232,75,Male,Medium,Yes,5,Yes,Divorced,1,Bachelor's,Employed,55673,City D,State Z
233,72,Male,Medium,Yes,5,Yes,Divorced,0,Master's,Self-Employed,64498,City C,State X
234,45,Male,Medium,No,3,No,Married,1,Bachelor's,Retired,29329,City C,State Y
235,42,Male,High,No,8,No,Divorced,4,Bachelor's,Employed,49561,City B,State Y
236,56,Male,Low,No,9,Yes,Married,0,High School,Retired,19337,City D,State X
237,79,Male,High,Yes,1,No,Married,1,PhD,Unemployed,91859,City A,State Z
238,50,Male,High,No,2,No,Married,1,High School,Unemployed,44977,City B,State Z
239,18,Other,Low,Yes,5,Yes,Married,1,Bachelor's,Self-Employed,23563,City B,State Y
240,74,Female,Low,No,0,Yes,Single,1,PhD,Self-Employed,75737,City C,State Y
241,44,Male,Medium,No,7,No,Married,3,Bachelor's,Unemployed,68282,City A,State Z
242,79,Other,High,No,9,No,Married,1,High School,Unemployed,33347,City D,State Z
243,74,Female,Low,No,2,Yes,Single,2,Master's,Retired,50302,City B,State X
244,69,Other,Medium,Yes,8,No,Divorced,4,Master's,Employed,73858,City B,State Z
245,30,Other,High,No,3,No,Single,0,Bachelor's,Employed,56915,City B,State X
246,58,Male,Medium,No,4,No,Married,3,PhD,Unemployed,55442,City D,State X
247,20,Other,Low,No,5,Yes,Single,3,High School,Self-Employed,19128,City C,State X
248,56,Other,High,Yes,9,Yes,Married,0,PhD,Retired,96765,City A,State Y
249,23,Other,High,Yes,8,Yes,Divorced,1,Master's,Retired,52177,City C,State Y
250,25,Male,Medium,No,7,No,Single,2,High School,Employed,50903,City A,State Z
251,44,Male,Low,No,1,Yes,Married,1,PhD,Employed,46997,City D,State X
252,26,Male,Low,Yes,7,No,Single,3,High School,Self-Employed,13126,City B,State Z
253,79,Male,High,No,3,No,Divorced,2,High School,Retired,44254,City C,State X
254,54,Other,Low,No,8,No,Married,4,High School,Retired,75321,City B,State Y
255,50,Other,Low,Yes,0,No,Single,4,PhD,Self-Employed,36978,City D,State Y
256,68,Other,Low,Yes,2,Yes,Divorced,3,Bachelor's,Retired,46968,City C,State X
257,59,Other,Medium,Yes,3,Yes,Married,1,Bachelor's,Self-Employed,89721,City A,State Y
258,61,Female,High,Yes,2,Yes,Single,0,High School,Employed,41503,City D,State Y
259,41,Female,Medium,No,8,Yes,Single,4,Master's,Unemployed,49273,City B,State Z
260,32,Other,High,Yes,3,Yes,Divorced,1,PhD,Employed,31814,City D,State X
261,76,Male,Low,No,9,Yes,Married,0,High School,Retired,46823,City A,State Y
262,71,Other,High,Yes,4,No,Single,2,Master's,Retired,82103,City B,State Z
263,49,Other,Low,Yes,7,Yes,Divorced,4,Bachelor's,Employed,41628,City D,State Y
264,49,Female,High,No,2,Yes,Married,3,Master's,Employed,96823,City C,State X
265,41,Male,Low,Yes,6,Yes,Married,0,Bachelor's,Unemployed,71382,City D,State X
266,58,Other,Low,No,9,Yes,Divorced,1,High School,Retired,50888,City A,State X
267,69,Male,High,No,1,Yes,Single,2,Master's,Retired,20439,City B,State Z
268,66,Other,Medium,Yes,3,Yes,Married,0,High School,Unemployed,57336,City D,State X
269,79,Male,Medium,No,0,No,Married,2,High School,Unemployed,85410,City A,State Y
270,66,Other,Medium,No,4,Yes,Married,0,Bachelor's,Self-Employed,71418,City A,State Y
271,75,Male,Medium,No,5,No,Married,1,PhD,Self-Employed,42546,City D,State Y
272,69,Female,Low,No,2,No,Divorced,4,Master's,Retired,75275,City B,State X
273,29,Other,Low,No,0,Yes,Single,2,PhD,Unemployed,75703,City A,State Z
274,79,Male,Medium,Yes,4,No,Single,3,PhD,Retired,98549,City C,State Z
275,56,Other,Low,Yes,3,No,Married,3,Master's,Retired,74469,City D,State X
276,19,Female,Medium,Yes,2,Yes,Divorced,4,High School,Employed,12570,City A,State X
277,20,Other,High,Yes,4,No,Divorced,1,High School,Unemployed,31033,City C,State X
278,66,Male,Low,No,5,No,Divorced,1,Master's,Unemployed,38749,City A,State Y
279,54,Female,High,No,2,Yes,Single,0,Master's,Retired,71989,City A,State Y
280,66,Other,Low,Yes,7,Yes,Married,1,Bachelor's,Unemployed,25736,City D,State Z
281,73,Female,High,No,6,No,Married,4,PhD,Retired,90151,City C,State Y
282,34,Female,High,Yes,8,No,Single,4,PhD,Self-Employed,62898,City B,State X
283,76,Female,High,Yes,3,No,Married,0,High School,Employed,55183,City B,State Y
284,66,Other,Low,No,1,No,Divorced,0,Bachelor's,Unemployed,69561,City D,State Y
285,19,Other,Low,Yes,2,Yes,Single,0,Bachelor's,Unemployed,63486,City B,State Z
286,19,Female,Low,Yes,8,Yes,Married,0,Master's,Self-Employed,60195,City B,State X
287,45,Female,Medium,Yes,6,No,Married,0,High School,Unemployed,98684,City C,State X
288,71,Other,Medium,No,8,No,Married,4,Bachelor's,Self-Employed,23694,City C,State X
289,40,Female,High,Yes,1,No,Single,2,Master's,Self-Employed,15626,City B,State X
290,54,Female,High,No,8,Yes,Married,2,PhD,Retired,33745,City B,State Y
291,49,Female,Low,Yes,3,Yes,Single,2,Master's,Self-Employed,73292,City B,State Y
292,50,Other,Medium,Yes,0,No,Divorced,2,Master's,Employed,35572,City C,State Y
293,18,Other,High,Yes,2,Yes,Married,3,High School,Self-Employed,12182,City A,State Y
294,36,Female,Low,Yes,6,Yes,Divorced,0,PhD,Employed,58712,City D,State Z
295,79,Male,Low,No,0,Yes,Married,0,Master's,Retired,85932,City D,State Y
296,19,Female,Medium,No,4,Yes,Divorced,0,Master's,Retired,57665,City D,State X
297,70,Female,Medium,No,5,Yes,Married,2,Master's,Employed,21141,City A,State Z
298,61,Other,Medium,No,0,No,Married,3,PhD,Retired,61736,City D,State X
299,43,Other,Medium,Yes,1,Yes,Single,2,PhD,Retired,23325,City D,State X
300,49,Female,Medium,No,9,No,Divorced,2,Master's,Self-Employed,52675,City B,State Z
301,23,Female,Medium,Yes,5,Yes,Single,4,Bachelor's,Self-Employed,59588,City A,State X
302,49,Other,Low,Yes,1,No,Divorced,3,Bachelor's,Employed,16419,City B,State Y
303,72,Female,Medium,No,7,No,Divorced,0,Bachelor's,Unemployed,83655,City C,State X
304,21,Other,Low,No,2,Yes,Divorced,2,Bachelor's,Self-Employed,28940,City B,State X
305,72,Other,Medium,No,0,No,Married,1,PhD,Retired,11142,City D,State X
306,28,Female,Low,No,8,Yes,Divorced,3,PhD,Unemployed,68165,City D,State X
307,73,Female,Low,No,9,No,Single,0,PhD,Self-Employed,79987,City C,State Z
308,76,Other,High,No,2,Yes,Single,1,Bachelor's,Retired,76213,City A,State X
309,34,Other,Medium,No,2,Yes,Single,1,Master's,Self-Employed,18923,City C,State Z
310,55,Female,Low,Yes,7,No,Divorced,0,Master's,Employed,13711,City D,State Y
311,41,Female,Medium,No,0,No,Single,2,Bachelor's,Self-Employed,40890,City B,State X
312,22,Female,High,No,6,No,Married,2,High School,Unemployed,66133,City D,State Z
313,69,Female,Low,Yes,9,No,Single,4,PhD,Self-Employed,77800,City B,State Z
314,51,Other,Medium,Yes,8,No,Single,2,High School,Retired,22684,City D,State Z
315,23,Female,High,No,6,Yes,Married,2,Bachelor's,Self-Employed,78330,City B,State X
316,39,Other,High,Yes,2,No,Divorced,2,Bachelor's,Employed,97630,City B,State Y
317,28,Other,Low,No,3,No,Single,0,Bachelor's,Employed,79222,City D,State X
318,65,Male,Medium,No,2,No,Single,2,Bachelor's,Retired,91555,City B,State X
319,33,Other,Medium,Yes,9,No,Single,4,Master's,Unemployed,50297,City C,State Y
320,50,Other,Medium,No,0,No,Single,0,PhD,Employed,25855,City D,State X
321,26,Male,Medium,No,4,Yes,Single,1,High School,Self-Employed,93455,City A,State X
322,77,Other,Medium,No,6,No,Single,1,Master's,Retired,57939,City C,State Z
323,76,Other,High,No,6,No,Single,2,Bachelor's,Unemployed,42063,City A,State Z
324,23,Other,Medium,Yes,3,No,Divorced,3,Bachelor's,Retired,94195,City C,State Y
