customer_id,age,gender,income_bracket,loyalty_program,membership_years,churned,marital_status,number_of_children,education_level,occupation,customer_zip_code,customer_city,customer_state,surrogate_key,version,effective_start_date,effective_end_date,is_current
21,39,Female,High,Yes,9,Yes,Divorced,0,PhD,Employed,74500,City D,State Y,21,1,2022-01-01,,True
22,70,Male,High,No,8,No,Divorced,0,Bachelor's,Employed,69058,City C,State Z,22,1,2022-01-01,,True
23,19,Other,Low,No,1,No,Divorced,1,High School,Unemployed,58301,City A,State Z,23,1,2022-01-01,,True
24,41,Male,Low,Yes,8,No,Single,0,High School,Retired,21585,City C,State Z,24,1,2022-01-01,,True
25,61,Female,Medium,No,9,Yes,Single,4,PhD,Unemployed,80677,City A,State Z,25,1,2022-01-01,,True
26,47,Male,High,No,4,Yes,Single,0,High School,Retired,79310,City D,State Z,26,1,2022-01-01,,True
27,55,Other,Low,No,8,Yes,Married,3,High School,Self-Employed,63089,City A,State X,27,1,2022-01-01,,True
28,19,Other,Low,Yes,0,No,Married,4,PhD,Self-Employed,64368,City C,State Z,28,1,2022-01-01,,True
29,77,Male,Low,No,7,No,Single,1,Bachelor's,Retired,49343,City C,State Z,29,1,2022-01-01,,True
30,38,Female,Low,Yes,5,No,Divorced,2,High School,Unemployed,66903,City C,State Y,30,1,2022-01-01,,True
31,50,Male,Low,Yes,4,Yes,Married,4,PhD,Self-Employed,67111,City C,State Y,31,1,2022-01-01,,True
32,29,Other,Medium,No,3,No,Married,0,Bachelor's,Employed,61623,City D,State X,32,1,2022-01-01,,True
33,75,Other,High,No,9,Yes,Single,0,High School,Self-Employed,33297,City B,State Z,33,1,2022-01-01,,True
34,39,Female,High,Yes,0,Yes,Divorced,0,Master's,Unemployed,26320,City D,State X,34,1,2022-01-01,,True
35,78,Other,Low,No,1,No,Single,3,Bachelor's,Employed,94542,City A,State Y,35,1,2022-01-01,,True
36,61,Other,Low,Yes,0,Yes,Married,4,Bachelor's,Self-Employed,28124,City D,State X,36,1,2022-01-01,,True
37,42,Male,Low,No,3,Yes,Married,3,High School,Retired,32593,City B,State Y,37,1,2022-01-01,,True
38,66,Other,High,No,0,Yes,Married,1,PhD,Employed,55973,City B,State Z,38,1,2022-01-01,,True
39,44,Male,Medium,No,4,Yes,Divorced,2,High School,Unemployed,62306,City D,State Y,39,1,2022-01-01,,True
40,76,Other,High,Yes,6,No,Single,4,Master's,Retired,26972,City C,State X,40,1,2022-01-01,,True
41,59,Male,High,No,2,No,Married,2,PhD,Employed,17351,City D,State Y,41,1,2022-01-01,,True
42,45,Male,High,Yes,4,Yes,Married,2,Master's,Self-Employed,67043,City A,State X,42,1,2022-01-01,,True
43,77,Other,High,Yes,3,No,Single,1,PhD,Self-Employed,62751,City D,State Y,43,1,2022-01-01,,True
44,33,Other,Medium,Yes,8,Yes,Divorced,3,PhD,Employed,38995,City C,State X,44,1,2022-01-01,,True
45,32,Female,High,No,1,No,Single,4,Master's,Unemployed,66432,City B,State Y,45,1,2022-01-01,,True
46,79,Female,High,Yes,3,No,Married,1,Master's,Unemployed,49394,City C,State Z,46,1,2022-01-01,,True
47,79,Male,Low,Yes,5,No,Married,0,PhD,Self-Employed,64680,City D,State X,47,1,2022-01-01,,True
48,64,Male,Low,No,3,Yes,Single,0,PhD,Unemployed,10997,City A,State X,48,1,2022-01-01,,True
49,79,Other,Low,No,9,No,Married,0,PhD,Self-Employed,43560,City A,State X,49,1,2022-01-01,,True
50,68,Male,Medium,Yes,0,No,Single,1,PhD,Employed,71882,City B,State Y,50,1,2022-01-01,,True
51,61,Female,Medium,Yes,2,No,Divorced,0,Master's,Self-Employed,24662,City C,State Z,51,1,2022-01-01,,True
52,72,Male,Medium,Yes,8,Yes,Married,1,Master's,Self-Employed,90106,City B,State X,52,1,2022-01-01,,True
53,69,Male,High,Yes,5,No,Married,1,High School,Employed,73957,City C,State Z,53,1,2022-01-01,,True
54,74,Male,Low,No,9,Yes,Divorced,1,Bachelor's,Self-Employed,78757,City D,State X,54,1,2022-01-01,,True
55,20,Male,High,No,6,No,Single,1,Bachelor's,Retired,55287,City C,State Y,55,1,2022-01-01,,True
56,54,Female,Low,No,1,Yes,Single,0,Bachelor's,Unemployed,70894,City D,State X,56,1,2022-01-01,,True
57,68,Other,Low,Yes,8,No,Single,3,High School,Retired,10347,City D,State Z,57,1,2022-01-01,,True
58,24,Other,Low,No,2,No,Single,1,Master's,Unemployed,39795,City B,State Y,58,1,2022-01-01,,True
59,38,Male,High,No,6,No,Divorced,0,Bachelor's,Retired,87812,City A,State Z,59,1,2022-01-01,,True
60,26,Female,High,No,6,No,Divorced,2,PhD,Self-Employed,98831,City B,State Y,60,1,2022-01-01,,True
61,56,Female,Medium,No,3,Yes,Divorced,3,PhD,Employed,74012,City D,State Z,61,1,2022-01-01,,True
62,35,Female,High,No,5,Yes,Divorced,3,PhD,Unemployed,49612,City B,State X,62,1,2022-01-01,,True
63,21,Male,High,Yes,2,No,Divorced,2,Bachelor's,Self-Employed,59175,City D,State X,63,1,2022-01-01,,True
64,42,Male,Medium,Yes,2,Yes,Divorced,3,Bachelor's,Retired,10545,City D,State Z,64,1,2022-01-01,,True
65,77,Female,Low,No,1,No,Divorced,4,High School,Employed,42205,City B,State Y,65,1,2022-01-01,,True
66,31,Male,Low,No,9,Yes,Married,4,Bachelor's,Unemployed,59026,City C,State Z,66,1,2022-01-01,,True
67,67,Other,High,Yes,7,Yes,Married,2,PhD,Employed,63036,City C,State X,67,1,2022-01-01,,True
68,75,Other,Medium,No,0,No,Married,0,Bachelor's,Retired,60429,City C,State X,68,1,2022-01-01,,True
69,26,Male,High,Yes,5,No,Single,4,High School,Retired,26009,City A,State X,69,1,2022-01-01,,True
70,43,Other,Medium,No,7,Yes,Single,1,Master's,Self-Employed,88376,City A,State Y,70,1,2022-01-01,,True
71,70,Other,Low,Yes,9,Yes,Divorced,0,High School,Self-Employed,51383,City B,State X,71,1,2022-01-01,,True
72,19,Male,High,Yes,0,No,Married,2,PhD,Retired,64436,City D,State Y,72,1,2022-01-01,,True
73,37,Female,Low,No,4,Yes,Single,4,Bachelor's,Retired,19184,City A,State Z,73,1,2022-01-01,,True
74,45,Other,Medium,Yes,2,Yes,Single,4,Master's,Self-Employed,14576,City C,State X,74,1,2022-01-01,,True
75,64,Male,High,Yes,3,Yes,Divorced,3,Bachelor's,Retired,72244,City C,State Y,75,1,2022-01-01,,True
76,77,Male,Low,Yes,5,Yes,Divorced,1,Bachelor's,Retired,78941,City B,State Z,76,1,2022-01-01,,True
77,24,Other,High,No,8,Yes,Single,3,Bachelor's,Retired,14018,City C,State X,77,1,2022-01-01,,True
78,61,Other,Medium,No,0,Yes,Divorced,4,Bachelor's,Employed,37334,City C,State X,78,1,2022-01-01,,True
79,78,Female,High,No,3,Yes,Divorced,3,Master's,Retired,24625,City D,State X,79,1,2022-01-01,,True
80,25,Other,High,No,6,No,Divorced,1,Bachelor's,Retired,82567,City C,State Z,80,1,2022-01-01,,True
81,64,Other,High,No,1,No,Married,1,Bachelor's,Self-Employed,16272,City B,State X,81,1,2022-01-01,,True
82,52,Other,Medium,Yes,4,No,Married,2,Master's,Self-Employed,23663,City B,State Y,82,1,2022-01-01,,True
83,31,Female,High,Yes,1,Yes,Married,2,High School,Unemployed,41100,City C,State Y,83,1,2022-01-01,,True
84,34,Male,Medium,Yes,0,Yes,Divorced,2,PhD,Retired,47355,City A,State X,84,1,2022-01-01,,True
85,53,Other,Low,No,6,Yes,Single,0,PhD,Employed,86461,City B,State Z,85,1,2022-01-01,,True
86,67,Male,Low,No,8,No,Married,4,High School,Employed,94018,City B,State Z,86,1,2022-01-01,,True
87,57,Other,Medium,Yes,4,Yes,Married,3,Bachelor's,Unemployed,45889,City C,State Y,87,1,2022-01-01,,True
88,21,Male,Low,Yes,7,Yes,Single,4,Bachelor's,Self-Employed,61913,City A,State Y,88,1,2022-01-01,,True
89,19,Female,High,Yes,8,Yes,Single,4,High School,Self-Employed,30431,City C,State X,89,1,2022-01-01,,True
90,79,Male,Low,No,1,Yes,Divorced,3,Bachelor's,Employed,73620,City C,State Y,90,1,2022-01-01,,True
91,23,Female,High,Yes,0,No,Single,3,PhD,Employed,41040,City C,State Y,91,1,2022-01-01,,True
92,71,Other,High,Yes,9,Yes,Married,4,Master's,Employed,56439,City D,State Z,92,1,2022-01-01,,True
93,59,Other,High,No,2,Yes,Single,4,High School,Self-Employed,36460,City A,State Z,93,1,2022-01-01,,True
94,21,Male,Medium,Yes,2,No,Single,4,Bachelor's,Employed,98097,City C,State X,94,1,2022-01-01,,True
95,71,Female,High,Yes,2,Yes,Single,2,High School,Retired,39789,City C,State X,95,1,2022-01-01,,True
96,46,Other,High,No,1,Yes,Married,1,Bachelor's,Unemployed,95833,City B,State X,96,1,2022-01-01,,True
97,35,Other,Low,Yes,2,Yes,Divorced,0,PhD,Unemployed,92325,City A,State Y,97,1,2022-01-01,,True
98,43,Other,Medium,No,4,No,Married,1,Bachelor's,Employed,76043,City A,State Y,98,1,2022-01-01,,True
99,61,Male,Low,Yes,9,No,Married,1,Master's,Self-Employed,34440,City B,State Z,99,1,2022-01-01,,True
100,51,Male,Low,Yes,4,Yes,Married,1,High School,Unemployed,40643,City A,State X,100,1,2022-01-01,,True
101,27,Female,Medium,Yes,8,Yes,Single,2,PhD,Unemployed,25576,City A,State Y,101,1,2022-01-01,,True
102,79,Other,Medium,No,1,No,Married,2,PhD,Unemployed,82395,City A,State X,102,1,2022-01-01,,True
103,53,Male,High,Yes,1,No,Divorced,1,Bachelor's,Retired,53988,City D,State Y,103,1,2022-01-01,,True
104,31,Other,High,No,2,Yes,Married,1,PhD,Employed,17557,City B,State Z,104,1,2022-01-01,,True
105,48,Other,Low,Yes,6,No,Single,2,Bachelor's,Employed,40037,City A,State X,105,1,2022-01-01,,True
106,65,Female,High,Yes,7,No,Single,2,Bachelor's,Self-Employed,54445,City D,State X,106,1,2022-01-01,,True
107,32,Other,Low,No,1,Yes,Married,0,Master's,Self-Employed,41707,City C,State Z,107,1,2022-01-01,,True
108,25,Male,Low,Yes,8,No,Married,1,Bachelor's,Employed,59599,City B,State Y,108,1,2022-01-01,,True
109,31,Other,High,No,0,Yes,Married,3,Bachelor's,Employed,57747,City B,State Y,109,1,2022-01-01,,True
110,40,Female,Low,No,4,Yes,Divorced,1,High School,Retired,86630,City C,State X,110,1,2022-01-01,,True
111,77,Male,Low,No,5,Yes,Divorced,1,PhD,Unemployed,72249,City A,State X,111,1,2022-01-01,,True
112,74,Female,Medium,No,8,Yes,Single,1,Bachelor's,Unemployed,84392,City C,State X,112,1,2022-01-01,,True
113,79,Male,Low,No,8,No,Single,0,Bachelor's,Self-Employed,39294,City A,State Y,113,1,2022-01-01,,True
114,57,Other,High,No,4,Yes,Divorced,0,Bachelor's,Retired,90808,City D,State X,114,1,2022-01-01,,True
115,38,Other,Medium,Yes,0,No,Married,1,Bachelor's,Employed,46654,City A,State Z,115,1,2022-01-01,,True
116,33,Female,Low,No,7,No,Married,2,High School,Employed,90881,City B,State Z,116,1,2022-01-01,,True
117,62,Other,High,Yes,0,Yes,Single,4,Master's,Employed,51370,City C,State Z,117,1,2022-01-01,,True
118,35,Male,Medium,Yes,0,Yes,Single,0,Master's,Unemployed,76247,City C,State Y,118,1,2022-01-01,,True
119,64,Other,Medium,Yes,2,No,Married,2,High School,Employed,37177,City D,State Y,119,1,2022-01-01,,True
120,70,Male,Medium,Yes,6,Yes,Divorced,3,Bachelor's,Employed,69001,City B,State X,120,1,2022-01-01,,True
121,41,Other,High,No,0,No,Single,2,Bachelor's,Unemployed,23240,City D,State X,121,1,2022-01-01,,True
122,43,Female,Medium,No,4,Yes,Divorced,4,High School,Employed,97988,City C,State Z,122,1,2022-01-01,,True
123,42,Male,High,Yes,7,Yes,Single,1,High School,Employed,55966,City B,State Y,123,1,2022-01-01,,True
124,77,Male,Low,No,5,No,Married,2,Master's,Employed,80279,City C,State Z,124,1,2022-01-01,,True
125,77,Other,Low,Yes,5,No,Married,2,High School,Employed,61138,City A,State X,125,1,2022-01-01,,True
126,77,Other,High,No,8,No,Married,0,Master's,Retired,66719,City A,State X,126,1,2022-01-01,,True
127,62,Male,Low,No,3,No,Divorced,3,High School,Retired,15736,City D,State Z,127,1,2022-01-01,,True
128,58,Male,Low,Yes,8,No,Single,4,Bachelor's,Employed,95408,City D,State Y,128,1,2022-01-01,,True
129,46,Female,High,Yes,9,No,Married,2,Bachelor's,Unemployed,35890,City A,State Y,129,1,2022-01-01,,True
130,32,Male,Low,No,5,No,Single,3,Master's,Retired,19124,City B,State X,130,1,2022-01-01,,True
131,62,Other,High,Yes,2,No,Single,2,Master's,Unemployed,49009,City A,State Z,131,1,2022-01-01,,True
132,18,Female,Medium,No,8,Yes,Married,3,Master's,Self-Employed,52282,City C,State X,132,1,2022-01-01,,True
133,42,Male,Low,Yes,8,No,Single,1,PhD,Employed,54241,City A,State X,133,1,2022-01-01,,True
134,24,Female,Low,Yes,7,Yes,Married,0,High School,Employed,32155,City A,State Y,134,1,2022-01-01,,True
135,26,Male,High,Yes,3,Yes,Divorced,4,High School,Unemployed,85307,City B,State X,135,1,2022-01-01,,True
136,41,Male,Low,No,0,Yes,Single,2,Master's,Retired,28201,City A,State X,136,1,2022-01-01,,True
137,18,Female,Low,No,5,Yes,Married,2,Master's,Self-Employed,95389,City B,State X,137,1,2022-01-01,,True
138,61,Female,High,Yes,6,Yes,Divorced,1,PhD,Retired,49849,City B,State Z,138,1,2022-01-01,,True
139,25,Male,Medium,No,1,No,Single,3,PhD,Unemployed,29639,City C,State Z,139,1,2022-01-01,,True
140,41,Other,Low,No,4,Yes,Single,0,Master's,Self-Employed,35497,City B,State X,140,1,2022-01-01,,True
141,28,Male,Low,No,3,No,Single,0,PhD,Unemployed,31564,City D,State Z,141,1,2022-01-01,,True
142,68,Female,Medium,No,0,No,Divorced,4,PhD,Retired,80810,City A,State Y,142,1,2022-01-01,,True
143,34,Other,Low,Yes,0,Yes,Married,1,Master's,Self-Employed,45173,City C,State X,143,1,2022-01-01,,True
144,25,Other,High,Yes,8,No,Married,3,Master's,Self-Employed,65308,City A,State X,144,1,2022-01-01,,True
145,52,Other,High,No,7,No,Married,0,PhD,Self-Employed,44578,City C,State Z,145,1,2022-01-01,,True
146,52,Male,Low,No,2,No,Married,3,PhD,Unemployed,54359,City A,State X,146,1,2022-01-01,,True
147,50,Female,Medium,No,0,Yes,Married,2,Bachelor's,Self-Employed,67790,City A,State X,147,1,2022-01-01,,True
148,76,Other,High,No,8,Yes,Married,1,Master's,Unemployed,94201,City B,State X,148,1,2022-01-01,,True
149,22,Male,Low,No,2,No,Married,1,Master's,Self-Employed,52494,City A,State X,149,1,2022-01-01,,True
150,59,Male,Low,No,8,No,Divorced,2,High School,Unemployed,22592,City A,State Z,150,1,2022-01-01,,True
151,56,Male,Medium,No,1,No,Married,3,Bachelor's,Employed,67472,City B,State X,151,1,2022-01-01,,True
152,75,Other,Low,No,3,No,Divorced,3,Master's,Self-Employed,99994,City B,State Y,152,1,2022-01-01,,True
153,58,Other,High,No,2,No,Divorced,4,Bachelor's,Self-Employed,85876,City A,State Y,153,1,2022-01-01,,True
154,45,Male,Medium,No,3,No,Single,1,High School,Unemployed,20930,City D,State X,154,1,2022-01-01,,True
155,24,Other,High,No,5,No,Married,3,PhD,Unemployed,16081,City C,State Y,155,1,2022-01-01,,True
156,26,Male,High,No,3,No,Married,4,Master's,Retired,79294,City B,State Z,156,1,2022-01-01,,True
157,25,Female,High,No,1,Yes,Single,4,Bachelor's,Self-Employed,29737,City C,State Y,157,1,2022-01-01,,True
158,29,Female,Medium,No,6,Yes,Single,3,High School,Unemployed,92145,City C,State X,158,1,2022-01-01,,True
159,51,Male,Medium,No,0,Yes,Single,4,PhD,Retired,34294,City B,State X,159,1,2022-01-01,,True
160,50,Male,Low,Yes,5,No,Married,2,High School,Employed,60435,City C,State Y,160,1,2022-01-01,,True
161,65,Male,Low,Yes,1,No,Single,0,Master's,Unemployed,11165,City B,State X,161,1,2022-01-01,,True
162,72,Male,Low,No,5,No,Single,3,PhD,Retired,99505,City D,State Z,162,1,2022-01-01,,True
163,40,Other,Low,Yes,9,No,Divorced,3,Master's,Unemployed,27324,City A,State X,163,1,2022-01-01,,True
164,79,Female,Low,Yes,5,No,Married,3,High School,Unemployed,79546,City B,State X,164,1,2022-01-01,,True
165,41,Other,Medium,No,7,No,Single,2,Bachelor's,Employed,29687,City C,State X,165,1,2022-01-01,,True
166,54,Female,Low,No,7,No,Divorced,3,Master's,Unemployed,29969,City B,State Y,166,1,2022-01-01,,True
167,52,Female,Medium,No,4,Yes,Divorced,4,PhD,Employed,76828,City A,State Y,167,1,2022-01-01,,True
168,61,Other,Medium,Yes,1,Yes,Single,3,Bachelor's,Unemployed,69849,City D,State X,168,1,2022-01-01,,True
169,57,Male,Low,Yes,4,Yes,Single,3,Master's,Retired,26487,City B,State Y,169,1,2022-01-01,,True
170,39,Other,Low,No,6,No,Married,2,High School,Unemployed,41628,City B,State Z,170,1,2022-01-01,,True
171,44,Female,Medium,No,4,Yes,Divorced,2,Bachelor's,Unemployed,58907,City B,State X,171,1,2022-01-01,,True
172,52,Other,Medium,Yes,4,No,Married,1,High School,Retired,58633,City A,State X,172,1,2022-01-01,,True
173,18,Female,Low,Yes,0,Yes,Married,0,High School,Unemployed,77853,City C,State X,173,1,2022-01-01,,True
174,52,Female,High,No,0,No,Single,4,High School,Unemployed,94223,City A,State X,174,1,2022-01-01,,True
175,54,Female,High,Yes,8,No,Married,0,Bachelor's,Retired,90373,City A,State X,175,1,2022-01-01,,True
176,64,Male,High,No,4,No,Divorced,2,Master's,Unemployed,11884,City A,State Y,176,1,2022-01-01,,True
177,31,Other,High,No,9,Yes,Divorced,2,Master's,Employed,43621,City C,State X,177,1,2022-01-01,,True
178,20,Male,Low,Yes,6,No,Divorced,0,High School,Retired,83856,City A,State Z,178,1,2022-01-01,,True
179,18,Male,Low,Yes,2,Yes,Single,3,Bachelor's,Unemployed,20819,City A,State Y,179,1,2022-01-01,,True
180,22,Female,Low,Yes,1,Yes,Divorced,1,PhD,Self-Employed,41837,City C,State X,180,1,2022-01-01,,True
181,43,Female,Low,No,6,Yes,Divorced,4,Bachelor's,Retired,70554,City B,State X,181,1,2022-01-01,,True
182,72,Male,Low,No,9,No,Single,1,Bachelor's,Retired,36535,City B,State X,182,1,2022-01-01,,True
183,31,Male,High,No,3,No,Divorced,3,Master's,Employed,88790,City D,State Z,183,1,2022-01-01,,True
184,56,Other,Medium,Yes,6,No,Divorced,0,Master's,Unemployed,11907,City A,State Y,184,1,2022-01-01,,True
185,44,Male,High,Yes,0,Yes,Married,1,Bachelor's,Employed,67450,City B,State X,185,1,2022-01-01,,True
186,26,Female,Medium,No,6,Yes,Single,4,Master's,Unemployed,68808,City A,State Y,186,1,2022-01-01,,True
187,32,Other,Medium,Yes,1,No,Married,2,High School,Employed,83469,City B,State Y,187,1,2022-01-01,,True
188,32,Male,Low,Yes,6,Yes,Single,4,PhD,Self-Employed,39889,City C,State Z,188,1,2022-01-01,,True
189,43,Other,High,No,2,Yes,Single,1,Master's,Retired,97726,City A,State X,189,1,2022-01-01,,True
190,59,Male,High,Yes,7,Yes,Single,3,PhD,Employed,62544,City B,State Y,190,1,2022-01-01,,True
191,77,Male,Low,No,0,No,Single,2,Master's,Self-Employed,51224,City C,State X,191,1,2022-01-01,,True
192,30,Male,Medium,No,1,No,Married,1,Master's,Retired,53724,City A,State Z,192,1,2022-01-01,,True
193,68,Other,High,No,2,No,Divorced,1,High School,Unemployed,20454,City A,State Z,193,1,2022-01-01,,True
194,49,Female,Low,No,1,Yes,Divorced,1,High School,Unemployed,81109,City C,State Z,194,1,2022-01-01,,True
195,56,Female,Low,Yes,8,No,Divorced,1,High School,Self-Employed,25541,City D,State Z,195,1,2022-01-01,,True
196,66,Other,Low,Yes,5,Yes,Single,0,High School,Retired,90119,City C,State Z,196,1,2022-01-01,,True
197,69,Male,Low,No,4,No,Single,4,Bachelor's,Employed,33370,City A,State X,197,1,2022-01-01,,True
198,78,Female,Medium,No,4,No,Married,4,Bachelor's,Employed,31659,City A,State Y,198,1,2022-01-01,,True
199,49,Male,High,No,5,No,Married,2,PhD,Self-Employed,75000,City B,State X,199,1,2022-01-01,,True
200,21,Other,High,No,3,No,Married,3,High School,Retired,55281,City B,State Y,200,1,2022-01-01,,True
201,47,Female,Low,Yes,7,No,Married,0,Master's,Unemployed,19318,City A,State Z,201,1,2022-01-01,,True
202,54,Male,Low,No,4,No,Married,3,Bachelor's,Self-Employed,31171,City B,State Z,202,1,2022-01-01,,True
203,40,Male,Medium,Yes,1,No,Divorced,0,Bachelor's,Self-Employed,47233,City C,State X,203,1,2022-01-01,,True
204,56,Other,Medium,Yes,8,No,Married,3,High School,Employed,10172,City B,State Z,204,1,2022-01-01,,True
205,62,Female,Low,No,9,No,Married,4,Bachelor's,Employed,83573,City C,State X,205,1,2022-01-01,,True
206,32,Female,Low,No,7,No,Married,2,High School,Unemployed,99557,City B,State X,206,1,2022-01-01,,True
207,60,Female,High,Yes,5,Yes,Married,0,PhD,Employed,68571,City C,State X,207,1,2022-01-01,,True
208,46,Male,Medium,Yes,8,No,Married,4,PhD,Retired,60455,City D,State Z,208,1,2022-01-01,,True
209,53,Other,High,Yes,0,Yes,Single,4,High School,Self-Employed,94443,City D,State Y,209,1,2022-01-01,,True
210,30,Male,Low,No,8,Yes,Married,0,High School,Self-Employed,70529,City B,State Z,210,1,2022-01-01,,True
211,49,Female,Medium,Yes,9,No,Married,3,Bachelor's,Retired,27614,City B,State Z,211,1,2022-01-01,,True
212,24,Other,High,No,2,No,Divorced,3,PhD,Unemployed,61433,City D,State X,212,1,2022-01-01,,True
213,76,Other,High,No,5,Yes,Married,4,High School,Employed,22587,City D,State Y,213,1,2022-01-01,,True
214,68,Other,Low,Yes,3,Yes,Single,4,High School,Unemployed,78912,City A,State Z,214,1,2022-01-01,,True
215,39,Male,Medium,Yes,7,No,Single,2,PhD,Unemployed,37532,City C,State X,215,1,2022-01-01,,True
216,45,Other,High,Yes,0,No,Single,4,High School,Unemployed,32215,City D,State Z,216,1,2022-01-01,,True
217,19,Male,Low,Yes,1,Yes,Divorced,2,PhD,Self-Employed,58859,City C,State Z,217,1,2022-01-01,,True
218,59,Male,Low,No,0,No,Married,3,High School,Employed,78113,City C,State Y,218,1,2022-01-01,,True
219,62,Other,Medium,No,9,No,Married,4,High School,Unemployed,47764,City A,State Y,219,1,2022-01-01,,True
220,79,Female,Medium,No,8,No,Married,1,PhD,Self-Employed,95042,City A,State Z,220,1,2022-01-01,,True
221,74,Other,Low,No,8,Yes,Divorced,0,Bachelor's,Self-Employed,42714,City B,State Y,221,1,2022-01-01,,True
222,70,Male,Medium,Yes,1,No,Divorced,1,Master's,Employed,24249,City D,State Y,222,1,2022-01-01,,True
223,23,Female,High,No,5,No,Married,2,Master's,Self-Employed,91067,City D,State Y,223,1,2022-01-01,,True
224,45,Female,Low,Yes,0,Yes,Single,4,Master's,Unemployed,99333,City B,State Y,224,1,2022-01-01,,True
225,45,Other,High,Yes,7,No,Divorced,0,High School,Employed,15608,City A,State X,225,1,2022-01-01,,True
226,61,Female,Medium,Yes,8,Yes,Single,4,PhD,Retired,75541,City C,State X,226,1,2022-01-01,,True
227,61,Male,High,No,0,Yes,Divorced,3,PhD,Unemployed,25333,City D,State X,227,1,2022-01-01,,True
228,37,Male,Low,No,6,No,Single,0,Master's,Retired,94878,City B,State Z,228,1,2022-01-01,,True
229,47,Male,Low,No,5,Yes,Single,3,PhD,Retired,16303,City C,State Y,229,1,2022-01-01,,True
230,79,Male,Low,No,8,Yes,Married,4,Bachelor's,Unemployed,92210,City A,State X,230,1,2022-01-01,,True
231,28,Female,High,No,1,No,Single,2,PhD,Self-Employed,87651,City C,State Y,231,1,2022-01-01,,True
232,75,Male,Medium,Yes,5,Yes,Divorced,1,Bachelor's,Employed,55673,City D,State Z,232,1,2022-01-01,,True
233,72,Male,Medium,Yes,5,Yes,Divorced,0,Master's,Self-Employed,64498,City C,State X,233,1,2022-01-01,,True
234,45,Male,Medium,No,3,No,Married,1,Bachelor's,Retired,29329,City C,State Y,234,1,2022-01-01,,True
235,42,Male,High,No,8,No,Divorced,4,Bachelor's,Employed,49561,City B,State Y,235,1,2022-01-01,,True
236,56,Male,Low,No,9,Yes,Married,0,High School,Retired,19337,City D,State X,236,1,2022-01-01,,True
237,79,Male,High,Yes,1,No,Married,1,PhD,Unemployed,91859,City A,State Z,237,1,2022-01-01,,True
238,50,Male,High,No,2,No,Married,1,High School,Unemployed,44977,City B,State Z,238,1,2022-01-01,,True
239,18,Other,Low,Yes,5,Yes,Married,1,Bachelor's,Self-Employed,23563,City B,State Y,239,1,2022-01-01,,True
