product_id,product_name,category,subcategory,cost_price
PROD0072,Appliances Product 72,Home,Appliances,30296.43
PROD0073,Appliances Product 73,Home,Appliances,42142.25
PROD0074,Appliances Product 74,Home,Appliances,28224.54
PROD0075,Appliances Product 75,Home,Appliances,41279.29
PROD0076,Fiction Product 76,Books,Fiction,1515.84
PROD0077,Fiction Product 77,Books,Fiction,2368.54
PROD0078,Fiction Product 78,Books,Fiction,32108.54
PROD0079,Fiction Product 79,Books,Fiction,28880.88
PROD0080,Fiction Product 80,Books,Fiction,32591.39
PROD0081,Education Product 81,Books,Education,38371.25
PROD0082,Education Product 82,Books,Education,20887.68
PROD0083,Education Product 83,Books,Education,31985.66
PROD0084,Education Product 84,Books,Education,24952.1
PROD0085,Education Product 85,Books,Education,31395.48
PROD0086,Technology Product 86,Books,Technology,14554.62
PROD0087,Technology Product 87,Books,Technology,47836.84
PROD0088,Technology Product 88,Books,Technology,24198.95
PROD0089,Technology Product 89,Books,Technology,40253.94
PROD0090,Technology Product 90,Books,Technology,34281.04
PROD0091,Comics Product 91,Books,Comics,14941.95
PROD0092,Comics Product 92,Books,Comics,3741.35
PROD0093,Comics Product 93,Books,Comics,3089.66
PROD0094,Comics Product 94,Books,Comics,22036.31
PROD0095,Comics Product 95,Books,Comics,24264.13
PROD0096,Biography Product 96,Books,Biography,10280.75
PROD0097,Biography Product 97,Books,Biography,30372.35
PROD0098,Biography Product 98,Books,Biography,15697.87
PROD0099,Biography Product 99,Books,Biography,35946.31
PROD0100,Biography Product 100,Books,Biography,36736.57
