transaction_id,transaction_date,customer_id,product_id,quantity,unit_price,discount_applied,payment_method,store_location,transaction_hour,day_of_week,week_of_year,month_of_year,total_sales,promotion_id,promotion_type,holiday_season,season,weekend
207348,2020-12-08 12:50:49,14,1376,4,81.02,0.5,Credit Card,Location C,11,Sunday,36,6,4678.45,85,20% Off,Yes,Winter,No
887953,2021-06-17 09:35:20,15,7339,3,815.2,0.0,Credit Card,Location D,1,Wednesday,6,3,2768.37,215,Buy One Get One Free,No,Fall,Yes
950662,2021-06-08 17:28:08,16,1149,2,87.71,0.27,Cash,Location D,7,Sunday,46,11,3992.83,661,,Yes,Summer,Yes
736294,2021-06-11 03:32:41,17,3009,5,390.82,0.0,Mobile Payment,Location A,12,Sunday,22,2,6936.3,769,20% Off,Yes,Spring,Yes
619151,2020-05-28 00:36:24,18,7414,6,241.98,0.18,Mobile Payment,Location B,9,Monday,12,5,5689.28,179,20% Off,Yes,Summer,No
469647,2021-09-05 05:21:54,19,5266,2,182.88,0.04,Cash,Location D,13,Thursday,23,12,3654.8,497,Buy One Get One Free,No,Summer,No
104093,2021-08-11 22:50:13,20,3281,9,417.57,0.14,Debit Card,Location A,18,Wednesday,47,9,7551.92,263,Buy One Get One Free,Yes,Fall,Yes
768929,2020-07-04 12:42:16,21,2012,1,422.93,0.31,Credit Card,Location C,22,Thursday,21,8,9174.37,270,Flash Sale,No,Summer,Yes
14037,2020-02-28 12:33:05,22,668,4,542.14,0.42,Cash,Location B,3,Saturday,52,9,533.97,960,20% Off,No,Summer,Yes
191823,2021-11-08 21:20:37,23,8715,9,512.97,0.02,Debit Card,,11,Sunday,11,11,8820.87,462,20% Off,No,Fall,No
378545,2020-06-14 04:24:04,24,3445,9,211.15,0.37,Cash,Location B,20,Tuesday,12,2,5456.91,789,Flash Sale,No,Winter,No
470629,2020-05-25 16:21:01,25,3311,7,951.92,0.43,Debit Card,Location D,1,Wednesday,33,6,1568.09,99,Buy One Get One Free,Yes,Spring,Yes
974720,2020-02-08 02:45:45,26,414,2,687.35,0.04,Mobile Payment,Location B,3,Wednesday,6,9,1639.63,786,20% Off,No,Spring,No
532425,2020-08-06 16:52:36,27,5367,4,825.54,0.03,Mobile Payment,Location A,12,Wednesday,34,9,292.69,915,20% Off,No,Summer,Yes
302109,2021-03-06 22:31:28,28,2614,1,446.15,0.48,Credit Card,Location D,22,Thursday,15,8,2909.77,308,20% Off,Yes,Summer,No
577038,2021-03-27 13:44:19,29,4642,5,833.11,0.32,Credit Card,Location C,10,Monday,46,4,1459.27,334,20% Off,Yes,Winter,No
130179,2021-08-24 16:23:51,30,3121,6,101.91,0.2,Mobile Payment,Location A,22,Monday,45,9,2767.61,283,20% Off,Yes,Fall,Yes
914952,2021-08-17 14:09:33,31,2843,5,338.22,0.01,Cash,Location A,10,Monday,24,10,3464.48,416,Buy One Get One Free,Yes,Spring,No
901113,2020-11-15 08:56:17,32,3338,5,15.89,0.42,Mobile Payment,Location D,17,Wednesday,52,7,5059.33,282,Flash Sale,Yes,Summer,Yes
523222,2021-12-06 21:43:03,33,4854,9,134.44,0.38,Cash,Location B,17,Monday,20,12,6662.93,269,Flash Sale,No,Summer,Yes
530534,2020-05-08 05:45:31,34,8507,4,728.02,0.02,Mobile Payment,Location A,20,Friday,16,4,9816.39,407,Flash Sale,No,Spring,Yes
338878,2020-04-15 03:15:37,35,1067,9,129.03,0.23,Debit Card,Location B,10,Tuesday,38,11,4831.51,670,20% Off,No,Winter,No
431082,2021-11-24 02:47:47,36,8037,5,422.37,0.33,Mobile Payment,Location D,12,Sunday,21,12,7063.64,711,20% Off,No,Fall,No
134128,2021-12-16 06:30:28,37,3340,6,113.69,0.42,Mobile Payment,Location A,6,Wednesday,50,3,3387.4,237,20% Off,No,Summer,Yes
561919,2020-12-08 03:47:48,38,4404,4,821.95,0.26,Cash,Location C,11,Thursday,39,2,4817.8,906,Flash Sale,No,Fall,Yes
713655,2021-12-26 01:38:25,39,8280,5,685.73,0.04,Cash,Location A,10,Thursday,49,3,5974.24,821,20% Off,No,Fall,Yes
687009,2020-10-09 15:59:46,40,7704,4,597.0,0.03,Debit Card,Location B,7,Friday,12,3,9021.37,805,Buy One Get One Free,Yes,Spring,No
140525,2021-01-30 15:29:06,41,8199,6,172.07,0.4,Credit Card,Location B,12,Friday,12,1,9144.04,127,20% Off,Yes,Spring,Yes
882032,2020-01-09 04:08:07,42,1992,5,632.41,0.09,Cash,Location D,8,Friday,34,11,5728.99,635,20% Off,Yes,Spring,No
347224,2020-08-12 15:04:46,43,2761,7,52.47,0.07,Debit Card,Location D,11,Thursday,14,4,3526.23,726,Flash Sale,Yes,Fall,No
788407,2021-09-19 01:35:46,44,2771,8,175.74,0.3,Credit Card,Location A,17,Wednesday,24,11,6448.9,27,Buy One Get One Free,No,Winter,No
353965,2021-10-14 11:15:13,45,9134,4,67.87,0.07,Mobile Payment,Location A,9,Wednesday,4,3,1723.41,687,Buy One Get One Free,No,Fall,Yes
793727,2020-03-22 16:40:10,46,9560,6,377.62,0.27,Cash,Location B,22,Monday,24,2,6292.38,241,Flash Sale,No,Fall,No
638958,2021-06-26 01:57:58,47,8917,9,797.62,0.24,Cash,Location D,3,Thursday,31,4,8230.32,502,Flash Sale,Yes,Fall,No
765484,2020-07-16 08:00:45,48,8087,8,719.79,0.13,Cash,Location B,20,Friday,47,7,8729.63,877,Flash Sale,No,Spring,No
56524,2021-10-15 20:32:41,49,6803,6,807.22,0.46,Debit Card,Location C,10,Tuesday,14,10,1558.77,444,20% Off,No,Spring,Yes
190282,2021-10-18 12:34:53,50,7111,3,810.19,0.11,Mobile Payment,Location C,20,Sunday,44,3,429.84,60,Buy One Get One Free,Yes,Winter,Yes
676826,2021-08-20 11:07:43,51,3603,4,646.55,0.18,Debit Card,Location A,6,Monday,25,7,8147.34,885,Flash Sale,No,Spring,Yes
70048,2021-05-09 19:43:19,52,8618,3,422.91,0.06,Credit Card,Location A,11,Wednesday,23,4,7953.11,275,Flash Sale,Yes,Winter,Yes
906076,2020-02-03 18:52:19,53,8973,1,850.68,0.15,Mobile Payment,Location B,13,Sunday,29,4,566.77,567,20% Off,Yes,Winter,Yes
927481,2021-03-16 20:46:16,54,2834,9,561.83,0.18,Debit Card,Location D,1,Saturday,10,11,1530.61,943,Buy One Get One Free,Yes,Fall,Yes
199602,2020-07-27 17:05:06,55,6664,2,226.54,0.37,Debit Card,Location A,15,Tuesday,11,8,5650.68,154,Buy One Get One Free,Yes,Winter,Yes
609390,2021-12-27 02:48:18,56,1095,2,528.3,0.22,Debit Card,Location D,23,Saturday,46,5,3988.94,809,Flash Sale,Yes,Fall,No
250548,2021-04-30 09:26:17,57,4573,6,520.44,0.15,Credit Card,Location B,3,Tuesday,16,6,7023.52,155,Buy One Get One Free,Yes,Spring,No
841332,2020-09-13 19:46:28,58,4078,6,293.39,0.14,Cash,Location A,14,Thursday,22,8,8234.11,301,20% Off,Yes,Spring,Yes
965251,2021-06-29 05:37:10,59,6108,2,376.96,0.15,Credit Card,Location C,6,Thursday,15,11,7492.81,123,Buy One Get One Free,Yes,Spring,No
115377,2020-07-23 23:46:36,60,83,5,399.04,0.34,Debit Card,Location B,5,Sunday,15,6,8182.9,631,Flash Sale,No,Fall,No
826251,2021-06-29 15:15:34,61,9609,1,328.0,0.44,Mobile Payment,Location C,15,Saturday,28,8,7578.38,632,Flash Sale,No,Fall,Yes
474880,2021-08-28 04:55:00,62,3188,5,190.8,0.22,Mobile Payment,Location A,8,Wednesday,26,10,5935.52,801,20% Off,Yes,Summer,Yes
463311,2021-04-14 09:05:24,63,7581,7,656.4,0.34,Mobile Payment,Location C,21,Tuesday,3,8,8290.39,207,Flash Sale,Yes,Spring,No
762617,2021-04-25 08:04:47,64,921,2,796.37,0.33,Cash,Location C,7,Wednesday,30,10,3950.34,66,20% Off,No,Fall,No
950120,2021-11-26 19:49:02,65,7151,9,282.33,0.28,Debit Card,Location A,10,Monday,30,3,2347.82,388,Flash Sale,Yes,Summer,No
698299,2021-02-02 16:52:49,66,6224,2,992.41,0.03,Debit Card,Location C,20,Tuesday,35,2,8007.38,305,Flash Sale,No,Fall,No
665356,2021-01-06 13:38:44,67,5134,5,885.04,0.16,Cash,Location C,11,Friday,13,6,2245.16,689,Flash Sale,No,Spring,Yes
918300,2020-06-28 19:20:03,68,288,1,714.73,0.2,Debit Card,Location B,5,Monday,6,6,1968.28,52,Flash Sale,No,Spring,Yes
882162,2020-08-06 07:45:12,69,5934,4,115.54,0.44,Cash,Location B,13,Wednesday,37,2,2715.76,707,20% Off,Yes,Summer,No
618082,2021-06-06 08:02:33,70,5166,4,24.05,0.4,Mobile Payment,Location D,6,Tuesday,13,8,885.22,647,Flash Sale,No,Summer,Yes
404135,2021-07-19 04:42:57,71,616,5,418.45,0.35,Credit Card,Location A,8,Saturday,8,12,8398.68,568,Buy One Get One Free,Yes,Spring,No
808093,2021-01-04 01:59:07,72,7791,7,643.99,0.07,Mobile Payment,Location C,12,Friday,4,3,8076.04,302,Flash Sale,No,Winter,No
301633,2020-08-27 04:13:17,73,8727,8,629.13,0.48,Credit Card,Location A,19,Monday,10,3,3604.71,251,Flash Sale,No,Summer,Yes
80236,2021-08-26 20:05:13,74,4881,8,10.18,0.06,Credit Card,Location D,22,Thursday,7,3,1072.21,674,Flash Sale,Yes,Spring,Yes
932583,2021-08-30 04:36:00,75,4186,3,839.66,0.24,Credit Card,Location D,21,Saturday,12,6,3574.21,54,20% Off,No,Spring,Yes
998223,2020-12-09 16:32:21,76,6054,2,210.56,0.38,Mobile Payment,Location C,10,Thursday,19,5,5243.37,296,Buy One Get One Free,Yes,Fall,No
780035,2021-12-16 07:06:15,77,1675,3,778.71,0.4,Mobile Payment,Location A,1,Sunday,49,10,3047.47,748,20% Off,Yes,Winter,No
333702,2021-06-12 12:22:52,78,6825,7,204.16,0.25,Mobile Payment,Location D,4,Sunday,50,9,1612.8,806,20% Off,Yes,Winter,Yes
155620,2021-11-12 08:53:21,79,5553,5,875.72,0.3,Credit Card,Location C,5,Tuesday,39,4,7474.38,354,Flash Sale,No,Winter,No
826235,2021-06-04 01:52:28,80,931,2,565.83,0.11,Debit Card,Location D,8,Thursday,29,4,5801.79,382,Flash Sale,No,Winter,Yes
571042,2021-10-28 00:40:46,81,3064,2,641.25,0.07,Debit Card,Location B,20,Saturday,13,10,8942.48,209,Flash Sale,Yes,Winter,No
822466,2020-09-05 04:18:38,82,9549,3,700.06,0.28,Credit Card,Location B,16,Thursday,10,12,5823.9,350,20% Off,Yes,Spring,Yes
571703,2020-08-02 05:50:42,83,856,3,573.09,0.37,Credit Card,Location D,1,Wednesday,41,1,3963.3,459,Buy One Get One Free,Yes,Winter,No
148376,2020-03-21 15:30:10,84,8854,1,416.13,0.33,Mobile Payment,Location D,15,Thursday,20,12,8222.31,994,Buy One Get One Free,Yes,Spring,Yes
479531,2021-05-08 05:00:07,85,7035,2,839.22,0.46,Cash,Location D,21,Thursday,29,5,6246.35,480,Buy One Get One Free,Yes,Summer,No
131341,2021-04-13 00:56:59,86,6919,2,859.96,0.04,Mobile Payment,Location B,13,Wednesday,24,8,3408.86,618,Buy One Get One Free,No,Spring,No
904530,2021-06-17 22:44:26,87,2216,8,28.36,0.06,Cash,Location B,11,Sunday,7,9,1606.21,342,Buy One Get One Free,Yes,Spring,No
80068,2020-06-07 19:01:31,88,5306,3,276.04,0.41,Cash,Location C,5,Sunday,46,2,8955.67,769,Flash Sale,Yes,Spring,No
498405,2020-11-21 12:04:39,89,9299,8,853.54,0.07,Debit Card,Location D,18,Tuesday,24,4,5316.15,278,20% Off,Yes,Summer,Yes
254168,2020-05-22 16:14:20,90,3249,3,908.65,0.09,Credit Card,Location D,2,Sunday,25,10,988.43,241,20% Off,No,Spring,No
100172,2021-03-03 17:58:29,91,5253,1,80.12,0.12,Credit Card,Location A,2,Tuesday,32,2,8509.58,432,20% Off,No,Winter,No
795563,2020-02-21 21:15:33,92,8534,8,607.74,0.5,Debit Card,Location B,5,Saturday,17,11,1340.42,543,Buy One Get One Free,No,Spring,Yes
575073,2020-01-12 17:54:32,93,642,2,314.24,0.06,Cash,Location D,21,Tuesday,35,5,725.25,684,Buy One Get One Free,No,Fall,Yes
122864,2021-05-07 12:22:46,94,3653,8,972.47,0.5,Debit Card,Location A,6,Saturday,43,7,658.01,806,20% Off,Yes,Fall,Yes
325497,2020-01-29 14:56:06,95,460,1,679.18,0.16,Debit Card,Location A,13,Wednesday,48,6,3570.18,134,Buy One Get One Free,No,Fall,Yes
648235,2020-10-01 20:41:37,96,9847,6,622.24,0.27,Mobile Payment,Location D,14,Thursday,51,9,507.56,273,20% Off,Yes,Summer,No
920111,2021-04-01 08:15:19,97,9870,3,573.26,0.33,Debit Card,Location A,16,Tuesday,15,2,8145.16,344,20% Off,No,Spring,Yes
635301,2021-03-06 06:35:40,98,8929,2,518.11,0.11,Debit Card,Location C,1,Thursday,2,3,4684.05,139,Buy One Get One Free,No,Spring,No
237697,2021-07-12 12:31:43,99,9862,3,463.11,0.49,Debit Card,Location D,22,Wednesday,35,9,8526.04,733,20% Off,No,Winter,No
958485,2021-04-22 18:40:10,100,2213,4,570.42,0.27,Cash,Location A,4,Friday,17,6,7314.21,189,Buy One Get One Free,No,Winter,No
46889,2020-04-16 17:56:31,101,8141,8,963.53,0.36,Cash,Location B,5,Wednesday,49,10,5220.63,94,Flash Sale,Yes,Spring,No
904765,2020-01-03 19:38:44,102,8947,8,350.12,0.24,Credit Card,Location C,6,Wednesday,51,6,5346.65,347,Flash Sale,No,Spring,No
994029,2020-12-24 22:22:40,103,5859,2,163.01,0.43,Mobile Payment,Location B,21,Thursday,43,2,2641.15,603,Flash Sale,No,Summer,Yes
629684,2021-03-29 13:34:48,104,735,8,859.73,0.39,Credit Card,Location A,19,Thursday,8,12,6897.4,712,Buy One Get One Free,Yes,Winter,Yes
30566,2021-02-21 12:16:19,105,881,4,725.8,0.27,Mobile Payment,Location A,8,Friday,52,4,1209.72,973,Flash Sale,No,Fall,No
488920,2020-12-26 23:00:55,106,1044,9,505.65,0.45,Cash,Location C,0,Wednesday,25,8,636.84,568,20% Off,Yes,Winter,No
518140,2021-09-08 10:26:19,107,6049,2,100.26,0.12,Mobile Payment,Location B,17,Sunday,30,11,6155.07,757,20% Off,No,Spring,Yes
176994,2021-07-18 16:32:55,108,3833,9,384.25,0.34,Cash,Location D,21,Monday,43,7,6153.09,193,Flash Sale,Yes,Fall,No
309031,2021-05-25 09:36:46,109,5806,9,427.34,0.15,Cash,Location C,13,Thursday,5,4,5661.27,8,20% Off,No,Winter,Yes
841820,2021-02-17 03:58:22,110,2457,1,663.36,0.45,Cash,Location A,5,Monday,19,10,4805.93,345,Buy One Get One Free,No,Fall,No
247684,2021-10-16 19:50:55,111,7291,7,392.31,0.29,Mobile Payment,Location C,2,Thursday,13,8,5237.66,191,20% Off,No,Spring,No
390867,2021-09-09 20:54:42,112,8010,6,299.7,0.28,Cash,Location B,12,Thursday,45,3,4604.31,94,20% Off,Yes,Spring,No
271255,2021-09-25 21:15:47,113,6486,9,409.93,0.1,Mobile Payment,Location C,18,Tuesday,13,6,7110.64,500,Flash Sale,No,Winter,No
990418,2020-12-08 06:16:39,114,2593,9,100.86,0.49,Cash,Location B,20,Sunday,35,5,1243.18,138,20% Off,No,Fall,No
732408,2020-02-02 15:03:17,115,7307,7,62.47,0.44,Mobile Payment,Location A,4,Sunday,33,1,7283.92,725,20% Off,Yes,Winter,No
203021,2020-10-27 23:27:57,116,4103,4,718.62,0.1,Credit Card,Location B,6,Friday,30,6,1721.44,265,Flash Sale,No,Fall,No
180229,2021-05-31 09:42:16,117,7077,8,589.1,0.29,Mobile Payment,Location D,18,Wednesday,10,10,174.13,29,20% Off,Yes,Spring,Yes
475371,2020-10-20 07:10:31,118,3767,5,237.01,0.22,Cash,Location C,17,Friday,31,11,4229.67,329,Flash Sale,Yes,Winter,Yes
435937,2020-10-09 21:17:47,119,258,4,272.0,0.23,Debit Card,Location A,11,Thursday,4,10,3894.32,473,20% Off,Yes,Winter,No
979242,2021-08-04 10:51:20,120,5052,9,590.66,0.07,Cash,Location A,22,Friday,34,8,7388.3,859,Buy One Get One Free,Yes,Spring,Yes
25795,2020-08-26 06:32:20,121,6295,7,672.36,0.37,Mobile Payment,Location D,4,Wednesday,51,11,4997.96,989,Flash Sale,No,Spring,No
853979,2021-10-15 03:58:48,122,7392,9,178.54,0.24,Mobile Payment,Location B,17,Thursday,39,9,9705.93,776,Flash Sale,Yes,Winter,No
897417,2021-04-02 02:04:02,123,5392,2,305.23,0.05,Credit Card,Location B,19,Sunday,43,12,2626.98,718,Buy One Get One Free,No,Fall,Yes
328716,2021-10-30 21:40:28,124,7113,5,173.8,0.25,Mobile Payment,Location A,16,Thursday,48,8,360.57,187,20% Off,No,Spring,No
67538,2020-07-08 21:15:40,125,8757,2,573.35,0.39,Cash,Location B,21,Wednesday,22,1,2062.32,748,Buy One Get One Free,No,Spring,Yes
83949,2021-02-11 23:34:50,126,7061,6,272.17,0.41,Credit Card,Location A,15,Saturday,1,7,6712.84,837,Buy One Get One Free,No,Summer,Yes
572637,2021-05-30 07:10:36,127,8348,5,915.09,0.0,Credit Card,Location C,9,Tuesday,49,6,8498.19,419,Flash Sale,Yes,Winter,No
237227,2021-02-11 19:18:34,128,2900,8,816.23,0.41,Mobile Payment,Location C,18,Thursday,5,9,7941.47,296,Buy One Get One Free,Yes,Winter,No
759134,2021-12-13 03:34:30,129,8378,3,569.78,0.04,Debit Card,Location D,6,Thursday,33,6,3875.14,258,Flash Sale,Yes,Spring,Yes
726061,2021-08-10 13:15:02,130,2913,9,632.12,0.11,Mobile Payment,Location B,15,Friday,45,1,149.47,100,20% Off,No,Winter,No
834742,2020-04-24 22:53:08,131,8768,3,800.59,0.38,Debit Card,Location A,1,Tuesday,42,3,9076.38,745,Buy One Get One Free,No,Winter,No
367249,2021-12-15 05:13:20,132,2574,4,709.52,0.33,Cash,Location B,13,Saturday,11,3,2443.46,238,Flash Sale,Yes,Spring,Yes
49296,2020-04-04 04:51:10,133,7152,8,132.28,0.17,Cash,Location B,22,Wednesday,46,5,8586.01,850,Flash Sale,No,Fall,No
606870,2021-02-13 15:31:28,134,83,4,116.2,0.12,Cash,Location C,5,Tuesday,34,3,2013.73,739,Buy One Get One Free,No,Fall,No
624617,2021-03-09 04:28:26,135,100,4,629.45,0.44,Mobile Payment,Location C,9,Saturday,23,1,612.5,613,20% Off,No,Summer,Yes
457729,2020-12-25 08:33:19,136,5647,8,175.27,0.28,Debit Card,Location A,22,Wednesday,20,6,1385.39,26,20% Off,No,Fall,No
250710,2020-08-12 19:56:31,137,6698,6,685.53,0.37,Cash,Location D,21,Tuesday,38,11,8410.8,81,Buy One Get One Free,Yes,Spring,Yes
307058,2020-06-05 00:28:56,138,9463,9,987.76,0.1,Credit Card,Location C,11,Saturday,47,7,3108.89,825,Buy One Get One Free,No,Spring,No
433382,2020-10-28 14:12:08,139,8637,5,367.28,0.39,Mobile Payment,Location C,0,Thursday,11,11,1296.73,365,Buy One Get One Free,Yes,Summer,No
870865,2021-07-31 23:18:41,140,8464,7,833.18,0.28,Debit Card,Location D,23,Saturday,41,1,8677.05,973,Buy One Get One Free,Yes,Fall,No
616037,2021-02-14 13:23:19,141,4823,2,618.24,0.4,Debit Card,Location D,20,Tuesday,11,5,5471.47,574,Flash Sale,Yes,Winter,Yes
207902,2021-04-02 05:06:45,142,5413,7,81.6,0.3,Cash,Location B,20,Tuesday,7,11,3905.72,392,Flash Sale,No,Fall,Yes
707622,2021-03-04 06:38:38,143,7782,1,326.04,0.37,Cash,Location A,23,Sunday,11,12,7071.93,68,Buy One Get One Free,Yes,Spring,No
855532,2020-02-13 08:54:43,144,9466,6,386.6,0.5,Credit Card,Location A,12,Saturday,40,4,9621.38,283,Flash Sale,No,Fall,No
622830,2020-03-11 09:33:41,145,3697,7,843.12,0.21,Mobile Payment,Location C,20,Thursday,31,6,4172.37,508,Buy One Get One Free,Yes,Summer,Yes
566489,2020-09-24 08:56:19,146,3946,1,366.63,0.08,Cash,Location C,19,Tuesday,11,7,9067.69,891,Flash Sale,Yes,Spring,Yes
289767,2021-11-06 07:35:42,147,8594,4,212.82,0.32,Debit Card,Location B,10,Thursday,8,4,3110.05,739,Buy One Get One Free,No,Summer,No
558959,2020-03-06 21:43:38,148,1877,6,349.41,0.18,Mobile Payment,Location C,16,Saturday,9,10,6876.95,577,20% Off,Yes,Summer,Yes
408007,2021-08-27 05:45:17,149,1082,5,844.21,0.07,Cash,Location A,11,Tuesday,2,2,9505.89,849,Buy One Get One Free,Yes,Spring,No
950119,2020-06-26 13:35:36,150,9399,5,208.19,0.44,Cash,Location A,21,Thursday,34,2,9912.97,560,Buy One Get One Free,Yes,Summer,Yes
789333,2020-05-27 22:56:58,151,6932,8,166.6,0.28,Mobile Payment,Location D,8,Thursday,30,6,7478.83,479,20% Off,Yes,Winter,No
268814,2020-05-14 14:18:58,152,5101,5,433.34,0.16,Debit Card,Location A,4,Monday,39,6,6356.61,187,Flash Sale,Yes,Fall,No
905367,2020-02-22 00:09:20,153,4685,4,79.46,0.18,Cash,Location B,8,Tuesday,16,1,7337.12,483,20% Off,No,Winter,No
209889,2021-03-02 14:11:35,154,3872,1,698.48,0.28,Credit Card,Location C,0,Friday,8,7,4976.54,364,Buy One Get One Free,Yes,Winter,Yes
903423,2021-11-25 17:04:33,155,7019,1,134.72,0.37,Credit Card,Location B,10,Saturday,49,11,1564.96,683,Flash Sale,No,Fall,Yes
570897,2021-07-02 20:15:27,156,6216,2,766.2,0.25,Mobile Payment,Location B,10,Wednesday,51,4,9483.24,322,Flash Sale,No,Summer,No
306271,2021-10-08 21:06:58,157,4913,1,907.25,0.39,Mobile Payment,Location A,16,Wednesday,41,4,5836.53,723,Buy One Get One Free,No,Winter,Yes
733939,2020-08-02 17:50:03,158,9042,9,30.05,0.25,Cash,Location D,6,Wednesday,33,12,5826.85,135,20% Off,No,Winter,No
847666,2021-05-30 20:38:49,159,9742,1,381.55,0.09,Credit Card,Location C,19,Tuesday,33,5,6692.45,610,Buy One Get One Free,No,Summer,No
82787,2020-06-04 10:06:37,160,9080,6,112.31,0.47,Credit Card,Location C,21,Wednesday,33,12,4187.87,504,20% Off,No,Fall,Yes
708613,2021-05-18 06:22:00,161,2352,4,595.19,0.19,Cash,Location D,20,Thursday,27,11,1772.39,318,20% Off,Yes,Summer,No
375263,2021-03-09 12:28:12,162,6456,5,445.5,0.1,Mobile Payment,Location B,22,Sunday,3,2,7058.31,729,20% Off,Yes,Fall,No
359740,2021-11-30 17:45:40,163,4643,1,736.13,0.46,Cash,Location B,2,Saturday,18,1,9677.58,273,20% Off,No,Spring,Yes
729121,2020-08-11 07:04:06,164,322,5,653.95,0.01,Cash,Location B,9,Wednesday,10,7,9001.97,427,Flash Sale,No,Summer,No
745398,2020-02-29 19:43:58,165,7148,6,714.51,0.08,Debit Card,Location D,12,Saturday,34,6,9491.37,130,Flash Sale,No,Fall,No
40520,2021-04-03 07:10:09,166,4092,2,826.72,0.47,Credit Card,Location A,9,Sunday,31,12,350.57,580,20% Off,No,Fall,Yes
78832,2021-06-07 03:40:28,167,7229,7,986.39,0.46,Mobile Payment,Location B,4,Saturday,15,2,198.26,274,Flash Sale,No,Spring,Yes
161693,2020-07-15 20:53:44,168,1621,3,477.76,0.14,Debit Card,Location D,0,Sunday,25,3,8597.69,773,Flash Sale,Yes,Fall,Yes
988300,2020-03-26 10:41:25,169,8823,7,634.59,0.19,Cash,Location C,6,Sunday,13,10,3928.04,538,Flash Sale,Yes,Fall,Yes
984846,2020-10-22 07:36:36,170,1201,6,735.33,0.18,Debit Card,Location B,13,Wednesday,42,7,2799.87,16,Buy One Get One Free,No,Fall,Yes
252361,2021-10-19 07:29:11,171,5170,2,583.77,0.13,Cash,Location B,2,Tuesday,16,9,9924.37,629,Flash Sale,No,Winter,Yes
215935,2020-07-13 08:14:14,172,6645,8,492.0,0.3,Cash,Location A,14,Sunday,9,6,4500.05,16,Buy One Get One Free,Yes,Spring,Yes
237540,2021-10-16 02:37:51,173,1447,2,19.38,0.03,Debit Card,Location D,19,Monday,27,8,5596.97,877,20% Off,No,Spring,No
879510,2021-02-21 03:21:25,174,5720,9,554.48,0.18,Debit Card,Location B,1,Saturday,25,6,5475.39,946,Flash Sale,Yes,Winter,Yes
226330,2020-10-15 04:02:16,175,6928,1,757.48,0.0,Debit Card,Location A,8,Friday,11,2,9413.41,835,Buy One Get One Free,Yes,Summer,Yes
430394,2020-05-10 18:00:01,176,6159,7,735.46,0.07,Debit Card,Location A,7,Thursday,46,7,2823.61,113,20% Off,Yes,Summer,No
504788,2021-04-30 23:52:23,177,8968,9,184.2,0.19,Cash,Location D,16,Sunday,25,10,3767.09,112,Flash Sale,No,Summer,No
541460,2021-03-30 05:43:36,178,6892,4,201.0,0.2,Mobile Payment,Location B,18,Monday,35,1,4337.68,78,20% Off,Yes,Spring,Yes
409589,2021-08-17 04:10:57,179,2083,7,57.44,0.01,Cash,Location A,19,Thursday,47,3,7121.63,833,Flash Sale,Yes,Winter,Yes
115038,2020-08-21 07:53:48,180,7671,4,168.06,0.22,Debit Card,Location C,20,Friday,4,4,2659.7,650,20% Off,Yes,Fall,No
904715,2021-08-07 03:08:06,181,3958,6,96.98,0.34,Debit Card,Location A,5,Tuesday,22,6,5018.47,664,Flash Sale,No,Spring,Yes
